Orthogroup	Duplications (all)	Duplications (50% support)
OG0000901	4	4
OG0000902	3	3
OG0000903	3	3
OG0000904	4	4
OG0000905	4	4
OG0000906	6	4
OG0000907	5	5
OG0000908	3	3
OG0000909	2	2
OG0000910	3	3
OG0000911	6	6
OG0000912	4	4
OG0000913	5	4
OG0000914	4	4
OG0000915	2	2
OG0000916	2	2
OG0000917	6	6
OG0000918	3	3
OG0000919	5	5
OG0000920	3	3
OG0000921	4	3
OG0000922	3	2
OG0000923	6	6
OG0000924	4	4
OG0000925	4	4
OG0000926	3	2
OG0000927	4	4
OG0000928	4	4
OG0000929	5	4
OG0000930	4	4
OG0000931	6	6
OG0000932	5	5
OG0000933	3	3
OG0000934	4	4
OG0000935	3	3
OG0000936	5	5
OG0000937	4	4
OG0000938	3	3
OG0000939	2	2
OG0000940	4	4
OG0000941	9	9
OG0000942	8	8
OG0000943	5	5
OG0000944	5	5
OG0000945	5	5
OG0000946	4	4
OG0000947	9	9
OG0000948	5	5
OG0000949	3	3
OG0000950	3	3
OG0000951	4	4
OG0000952	3	2
OG0000953	2	2
OG0000954	1	1
OG0000955	4	4
OG0000956	4	4
OG0000957	4	4
OG0000958	6	6
OG0000959	2	2
OG0000960	2	2
OG0000961	5	5
OG0000962	3	3
OG0000963	7	7
OG0000964	11	11
OG0000965	7	7
OG0000966	11	11
OG0000967	4	4
OG0000968	5	5
OG0000969	4	4
OG0000970	2	2
OG0000971	4	4
OG0000972	4	4
OG0000973	5	5
OG0000974	6	6
OG0000975	4	4
OG0000976	3	3
OG0000977	4	4
OG0000978	2	2
OG0000979	7	7
OG0000980	8	8
OG0000981	4	4
OG0000982	4	4
OG0000983	5	5
OG0000984	4	4
OG0000985	13	13
OG0000986	12	12
OG0000987	10	10
OG0000988	11	11
OG0000989	13	13
OG0000990	8	7
OG0000991	8	8
OG0000992	5	5
OG0000993	7	7
OG0000994	11	11
OG0000995	2	2
OG0000996	3	3
OG0000997	12	12
OG0000998	5	5
OG0000999	2	2
OG0001000	3	3
OG0001001	5	5
OG0001002	3	3
OG0001003	2	2
OG0001004	2	2
OG0001005	5	5
OG0001006	3	3
OG0001007	5	5
OG0001008	3	3
OG0001009	3	3
OG0001010	2	2
OG0001011	3	3
OG0001012	12	12
OG0001013	3	3
OG0001014	8	8
OG0001015	3	3
OG0001016	5	5
OG0001017	3	3
OG0001018	3	3
OG0001019	5	5
OG0001020	3	3
OG0001021	2	2
OG0001022	3	1
OG0001023	3	3
OG0001024	2	2
OG0001025	2	2
OG0001026	5	5
OG0001027	2	2
OG0001028	4	4
OG0001029	3	3
OG0001030	5	5
OG0001031	2	2
OG0001032	4	4
OG0001033	6	6
OG0001034	3	3
OG0001035	3	3
OG0001036	3	3
OG0001037	2	2
OG0001038	2	2
OG0001039	2	2
OG0001040	2	2
OG0001041	3	3
OG0001042	3	3
OG0001043	2	2
OG0001044	3	3
OG0001045	3	3
OG0001046	1	1
OG0001047	3	3
OG0001048	2	2
OG0001049	2	2
OG0001050	4	4
OG0001051	2	2
OG0001052	5	5
OG0001053	2	2
OG0001054	2	2
OG0001055	3	3
OG0001056	3	3
OG0001057	2	2
OG0001058	4	4
OG0001059	3	3
OG0001060	5	5
OG0001061	4	4
OG0001062	2	2
OG0001063	3	3
OG0001064	3	3
OG0001065	3	3
OG0001066	3	3
OG0001067	5	5
OG0001068	2	2
OG0001069	3	3
OG0001070	3	3
OG0001071	3	3
OG0001072	4	4
OG0001073	2	2
OG0001074	5	5
OG0001075	2	2
OG0001076	4	4
OG0001077	4	3
OG0001078	5	4
OG0001079	2	2
OG0001080	2	2
OG0001081	4	4
OG0001082	2	2
OG0001083	5	5
OG0001084	5	5
OG0001085	5	5
OG0001086	5	5
OG0001087	5	5
OG0001088	5	5
OG0001089	4	4
OG0001090	4	4
OG0001091	3	3
OG0001092	5	3
OG0001093	3	3
OG0001094	4	4
OG0001095	3	3
OG0001096	5	5
OG0001097	4	4
OG0001098	4	4
OG0001099	2	2
OG0001100	5	5
OG0001101	7	7
OG0001102	5	5
OG0001103	2	2
OG0001104	4	3
OG0001105	3	3
OG0001106	5	5
OG0001107	5	5
OG0001108	5	5
OG0001109	5	5
OG0001110	3	2
OG0001111	4	3
OG0001112	5	5
OG0001113	5	5
OG0001114	2	2
OG0001115	5	5
OG0001116	2	2
OG0001117	2	2
OG0001118	5	5
OG0001119	5	5
OG0001120	3	3
OG0001121	4	4
OG0001122	3	3
OG0001123	3	1
OG0001124	4	4
OG0001125	4	2
OG0001126	3	3
OG0001127	3	3
OG0001128	2	2
OG0001129	2	2
OG0001130	2	2
OG0001131	5	5
OG0001132	3	3
OG0001133	2	2
OG0001134	5	5
OG0001135	5	5
OG0001136	2	2
OG0001137	3	3
OG0001138	3	3
OG0001139	4	3
OG0001140	2	1
OG0001141	4	4
OG0001142	2	2
OG0001143	3	3
OG0001144	2	2
OG0001145	2	2
OG0001146	4	4
OG0001147	5	5
OG0001148	5	4
OG0001149	4	4
OG0001150	3	3
OG0001151	3	1
OG0001152	2	2
OG0001153	5	5
OG0001154	5	5
OG0001155	5	5
OG0001156	3	3
OG0001157	4	4
OG0001158	2	2
OG0001159	5	5
OG0001160	2	2
OG0001161	3	3
OG0001162	5	5
OG0001163	3	3
OG0001164	5	5
OG0001165	4	4
OG0001166	3	3
OG0001167	5	5
OG0001168	2	2
OG0001169	4	3
OG0001170	3	3
OG0001171	3	2
OG0001172	2	2
OG0001173	4	4
OG0001174	8	8
OG0001175	1	1
OG0001176	2	2
